Provinsi,Kab/Kota,Cluster,Kategori,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Umur Harapan Hidup (Tahun)
ACEH,Simeulue,1,Sangat Miskin,18.98,7148,65.28
ACEH,Aceh Singkil,1,Sangat Miskin,20.36,8776,67.43
ACEH,Aceh Selatan,1,Sangat Miskin,13.18,8180,64.4
ACEH,Aceh Tenggara,0,Miskin,13.41,8030,68.22
ACEH,Aceh Timur,0,Miskin,14.45,8577,68.74
ACEH,Aceh Tengah,0,Miskin,15.26,10780,68.86
ACEH,Aceh Barat,1,Sangat Miskin,18.81,9593,67.99
ACEH,Aceh Besar,0,Miskin,14.05,9644,69.79
ACEH,Pidie,1,Sangat Miskin,19.59,9860,66.95
ACEH,Bireuen,0,Miskin,13.25,8867,71.26
ACEH,Aceh Utara,1,Sangat Miskin,17.43,8201,68.81
ACEH,Aceh Barat Daya,1,Sangat Miskin,16.34,8428,65.06
ACEH,Gayo Lues,1,Sangat Miskin,19.64,8856,65.53
ACEH,Aceh Tamiang,0,Miskin,13.34,8367,69.63
ACEH,Nagan Raya,1,Sangat Miskin,18.23,8292,69.24
ACEH,Aceh Jaya,0,Miskin,13.23,9666,67.19
ACEH,Bener Meriah,1,Sangat Miskin,19.16,11118,69.26
ACEH,Pidie Jaya,1,Sangat Miskin,19.55,10290,70.18
ACEH,Kota Banda Aceh,0,Miskin,7.61,16891,71.52
ACEH,Kota Sabang,0,Miskin,15.32,11378,70.56
ACEH,Kota Langsa,0,Miskin,10.96,12067,69.43
ACEH,Kota Lhokseumawe,0,Miskin,11.16,11390,71.64
ACEH,Kota Subulussalam,1,Sangat Miskin,17.65,7385,64.07
SUMATERA UTARA,Nias,1,Sangat Miskin,16.82,6995,69.78
SUMATERA UTARA,Mandailing Natal,1,Sangat Miskin,9.49,9771,62.65
SUMATERA UTARA,Tapanuli Selatan,0,Miskin,8.8,11304,64.97
SUMATERA UTARA,Tapanuli Tengah,0,Miskin,12.67,10138,67.24
SUMATERA UTARA,Tapanuli Utara,0,Miskin,9.72,11710,68.76
SUMATERA UTARA,Toba Samosir,0,Miskin,8.99,12224,70.29
SUMATERA UTARA,Labuhan Batu,0,Miskin,8.74,11212,69.95
SUMATERA UTARA,Asahan,0,Miskin,9.35,11030,68.37
SUMATERA UTARA,Simalungun,0,Miskin,8.81,11376,71.37
SUMATERA UTARA,Dairi,0,Miskin,8.31,10504,69.19
SUMATERA UTARA,Karo,0,Miskin,8.79,12412,71.58
SUMATERA UTARA,Deli Serdang,0,Miskin,4.01,12291,71.77
SUMATERA UTARA,Langkat,0,Miskin,10.12,11142,68.97
SUMATERA UTARA,Nias Selatan,1,Sangat Miskin,16.92,7041,68.86
SUMATERA UTARA,Humbang Hasundutan,0,Miskin,9.65,8016,69.51
SUMATERA UTARA,Pakpak Bharat,0,Miskin,9.35,8254,65.96
SUMATERA UTARA,Samosir,0,Miskin,12.68,8504,71.41
SUMATERA UTARA,Serdang Bedagai,0,Miskin,8.3,11017,68.82
SUMATERA UTARA,Batu Bara,0,Miskin,12.38,10539,67.13
SUMATERA UTARA,Padang Lawas Utara,0,Miskin,9.92,10055,67.22
SUMATERA UTARA,Padang Lawas,0,Miskin,8.69,8921,67.13
SUMATERA UTARA,Labuhan Batu Selatan,0,Miskin,8.53,11562,68.81
SUMATERA UTARA,Labuhan Batu Utara,0,Miskin,10.02,11840,69.56
